id,obs_id,choice,chosen_alt,av_alt1,av_alt2,av_alt3,tt1,tt2,tt3,tc1,tc2,tc3,age,sex,edu,inchh,urb,sclass
15,107,1,alt1,1,1,1,35,31,23,3,5,6,2,1,5,2,3,3
15,108,3,alt3,1,1,1,27,23,31,5,6,3,2,1,5,2,3,3
15,109,1,alt1,1,1,1,35,31,27,3,4,6,2,1,5,2,3,3
15,110,2,alt2,1,1,1,23,27,31,6,4,3,2,1,5,2,3,3
16,111,2,alt2,1,1,1,23,27,35,6,4,3,2,2,5,2,4,3
16,112,3,alt3,1,1,1,27,35,23,5,4,6,2,2,5,2,4,3
16,113,2,alt2,1,1,1,35,23,31,3,5,4,2,2,5,2,4,3
16,114,2,alt2,1,1,1,27,23,35,4,5,3,2,2,5,2,4,3
16,115,1,alt1,1,1,1,35,27,31,3,6,5,2,2,5,2,4,3
16,116,2,alt2,1,1,1,23,27,35,6,5,3,2,2,5,2,4,3
16,117,3,alt3,1,1,1,35,31,23,3,5,6,2,2,5,2,4,3
16,118,3,alt3,1,1,1,27,23,31,5,6,3,2,2,5,2,4,3
16,119,2,alt2,1,1,1,35,31,27,3,4,6,2,2,5,2,4,3
16,120,2,alt2,1,1,1,23,27,31,6,4,3,2,2,5,2,4,3
17,121,2,alt2,1,1,1,23,27,35,6,4,3,2,2,7,3,3,1
17,122,1,alt1,1,1,1,27,35,23,5,4,6,2,2,7,3,3,1
17,123,3,alt3,1,1,1,35,23,31,3,5,4,2,2,7,3,3,1
17,124,1,alt1,1,1,1,27,23,35,4,5,3,2,2,7,3,3,1
17,125,3,alt3,1,1,1,35,27,31,3,6,5,2,2,7,3,3,1
17,126,2,alt2,1,1,1,23,27,35,6,5,3,2,2,7,3,3,1
17,127,1,alt1,1,1,1,35,31,23,3,5,6,2,2,7,3,3,1
17,128,1,alt1,1,1,1,27,23,31,5,6,3,2,2,7,3,3,1
17,129,2,alt2,1,1,1,35,31,27,3,4,6,2,2,7,3,3,1
17,130,2,alt2,1,1,1,23,27,31,6,4,3,2,2,7,3,3,1
18,131,1,alt1,1,1,1,23,27,35,6,4,3,2,1,6,3,4,2
18,132,3,alt3,1,1,1,27,35,23,5,4,6,2,1,6,3,4,2
18,133,2,alt2,1,1,1,35,23,31,3,5,4,2,1,6,3,4,2
18,134,2,alt2,1,1,1,27,23,35,4,5,3,2,1,6,3,4,2
18,135,1,alt1,1,1,1,35,27,31,3,6,5,2,1,6,3,4,2
18,136,3,alt3,1,1,1,23,27,35,6,5,3,2,1,6,3,4,2
18,137,3,alt3,1,1,1,35,31,23,3,5,6,2,1,6,3,4,2
