Total Episodes: 7469
Training Time (seconds): 16358.66
Average Reward: 0.2349
Unique Models Explored: 8995
Converged Models: 2348

Overall Best Candidate History:

Metric: AIC
  Episode: 127, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 128, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 129, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 130, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 131, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 132, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 133, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 134, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 135, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 136, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 137, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 138, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 139, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 140, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 141, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 142, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 143, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 144, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 145, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 146, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 147, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 148, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 149, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 150, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 151, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 152, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 153, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 154, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 155, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 156, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 157, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 158, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 159, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 160, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 161, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 162, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 163, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 164, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 165, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 166, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 167, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 168, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 169, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 170, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 171, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 172, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 173, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 174, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 175, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 176, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 177, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 178, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 179, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 180, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 181, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 182, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 183, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 184, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 185, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 186, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 187, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 188, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 189, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 190, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 191, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 192, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 193, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 194, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 195, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 196, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 197, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 198, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 199, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 200, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 201, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 202, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 203, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 204, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 205, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 206, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 207, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 208, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 209, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 210, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 211, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 212, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 213, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 214, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 215, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 216, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 217, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 218, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 219, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 220, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 221, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 222, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 223, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 224, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 225, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 226, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 227, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 228, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 229, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 230, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 231, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 232, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 233, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 234, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 235, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 236, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 237, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 238, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 239, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 240, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 241, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 242, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 243, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 244, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 245, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 246, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 247, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 248, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 249, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 250, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 251, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 252, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 253, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 254, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 255, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 256, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 257, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 258, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 259, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 260, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 261, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 262, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 263, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 264, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 265, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 266, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 267, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 268, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 269, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 270, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 271, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 272, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 273, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 274, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 275, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 276, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 277, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 278, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 279, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 280, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 281, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 282, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 283, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 284, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 285, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 286, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 287, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 288, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 289, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 290, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 291, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 292, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 293, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 294, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 295, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 296, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 297, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 298, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 299, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 300, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 301, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 302, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 303, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 304, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 305, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 306, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 307, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 308, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 309, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 310, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 311, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 312, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 313, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 314, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 315, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 316, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 317, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 318, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 319, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 320, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 321, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 322, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 323, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 324, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 325, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 326, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 327, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 328, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 329, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 330, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 331, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 332, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 333, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 334, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 335, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 336, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 337, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 338, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 339, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 340, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 341, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 342, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 343, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 344, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 345, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 346, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 347, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 348, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 349, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 350, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 351, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 352, Value: 7753.2562, Representation: 100_101_116_111_101
