task_id,task_name,specification_key,episode_length,search_strategy,attempt_found,estimated,reward,n_terms,action_indices,specification,numParams,numResids,maximum,vcHessianConditionNumber,successfulEstimation,LL0,LLC,LLout,rho2_0,adjRho2_0,rho2_C,adjRho2_C,AIC,BIC,eigValue,timeTaken,nFreeParams,skipped
4,Swissmetro,1110_2210_3120_4120_5000_6220_7000,10,topk,17,True,0.10204507402451467,5,"[81, 25, 33, 17, 225, 121, 25, 105, 113, 65]",1110_2210_3120_4120_5000_6220_7000,9,6768,-4994.392023107065,0.0036904841679229103,True,-6964.66297919223,-5864.998339900737,-4994.392023107063,0.28289537655613584,0.28160313886611565,0.14844101674688737,0.14724749552244343,10006.78404621413,10068.163694325705,-8.980172,0.3802821636199951,9,0
4,Swissmetro,1110_2210_3120_4210_5000_6110_7000,10,topk,18,True,0.10206691519699952,5,"[25, 17, 73, 225, 65, 201, 81, 25, 65, 121]",1110_2210_3120_4210_5000_6110_7000,8,6768,-4994.272640787392,0.009358344544630139,True,-6964.66297919223,-5864.998339900737,-4994.272640787367,0.2829125177042473,0.281763861979785,0.14846137179436636,0.14743835360198576,10004.545281574785,10059.104968785074,-26.123761,0.39893198013305664,8,0
4,Swissmetro,1110_2120_3120_4210_5000_6110_7000,10,topk,21,True,0.09017382784998361,5,"[81, 17, 121, 73, 33, 25, 113, 17, 65, 121]",1110_2120_3120_4210_5000_6110_7000,10,6768,-5059.203044314753,0.004816555039751665,True,-6964.66297919223,-5864.998339900737,-5059.203044314761,0.27358968274132833,0.2721538630857504,0.13739054111984994,0.13602651686334255,10138.406088629506,10206.605697642368,-24.824719,0.6216270923614502,10,0
4,Swissmetro,1110_2120_3220_4110_5000_6220_7000,10,topk,22,True,0.10533156890961082,5,"[25, 121, 73, 81, 225, 33, 113, 105, 25, 17]",1110_2120_3220_4110_5000_6220_7000,10,6768,-4976.422156544485,0.006345636807409705,True,-6964.66297919223,-5864.998339900737,-4976.422156544477,0.28547552531800224,0.2840397056624244,0.15150493348158234,0.15014090922507495,9972.84431308897,10041.043922101831,-16.331039,0.5038971900939941,10,0
4,Swissmetro,1110_2210_3220_4120_5000_6220_7000,10,topk,23,True,0.11718410646757516,5,"[73, 225, 25, 81, 33, 201, 17, 25, 113, 225]",1110_2210_3220_4120_5000_6220_7000,9,6768,-4911.5074486896365,0.006180219138505675,True,-6964.66297919223,-5864.998339900737,-4911.507448689633,0.29479610666541123,0.29350386897539105,0.16257308799634507,0.16137956677190113,9841.014897379273,9902.394545490848,-8.931856,0.43602490425109863,9,0
4,Swissmetro,1110_2210_3220_4210_5000_6220_7000,10,topk,25,True,0.1172046607802175,5,"[33, 17, 225, 121, 73, 33, 105, 81, 121, 25]",1110_2210_3220_4210_5000_6220_7000,8,6768,-4911.3947221675035,0.009883565897756831,True,-6964.66297919223,-5864.998339900737,-4911.3947221674725,0.29481229216102955,0.29366363643656723,0.1625923082101628,0.1615692900177822,9838.789444335007,9893.349131545296,-16.71243,0.400806188583374,8,0
4,Swissmetro,1110_2210_3120_4120_5000_6110_7000,10,topk,26,True,0.10204507402451485,5,"[25, 33, 73, 121, 81, 113, 73, 65, 17, 25]",1110_2210_3120_4120_5000_6110_7000,9,6768,-4994.392023107067,0.003558599366377019,True,-6964.66297919223,-5864.998339900737,-4994.392023107062,0.2828953765561355,0.28160313886611543,0.14844101674688703,0.1472474955224431,10006.784046214134,10068.163694325709,-8.980217,0.44289302825927734,9,0
4,Swissmetro,1110_2120_3210_4210_5000_6220_7000,10,topk,27,True,0.056256544564145125,5,"[25, 33, 73, 121, 17, 81, 33, 225, 73, 17]",1110_2120_3210_4210_5000_6220_7000,8,6768,-5243.668516558722,0.0077171253518978095,True,-6964.66297919223,-5864.998339900737,-5243.668516558702,0.2471037676589931,0.2459551119345308,0.10593861879124256,0.10491560059886207,10503.337033117445,10557.896720327733,-26.151211,0.39264893531799316,8,0
4,Swissmetro,1110_2220_3220_4210_5000_6220_7000,10,topk,29,True,0.11849365248207201,5,"[81, 73, 17, 225, 121, 33, 105, 65, 121, 81]",1110_2220_3220_4210_5000_6220_7000,10,6768,-4904.324368956818,0.0068936591216981775,True,-6964.66297919223,-5864.998339900737,-4904.324368956812,0.29582746737220766,0.29439164771662973,0.163797824870344,0.1624338006138366,9828.648737913636,9896.848346926497,-11.983007,0.46133899688720703,10,0
4,Swissmetro,1110_2120_3220_4210_5000_6110_7000,10,topk,30,True,0.10537883205847201,5,"[81, 17, 33, 25, 73, 121, 65, 81, 33, 17]",1110_2120_3220_4210_5000_6110_7000,10,6768,-4976.163640719424,0.005597389704521412,True,-6964.66297919223,-5864.998339900737,-4976.16364071941,0.2855126435282924,0.2840768238727145,0.15154901121359166,0.15018498695708427,9972.327281438847,10040.526890451709,-16.328171,0.5112669467926025,10,0
