id,obs_id,choice,chosen_alt,av_1,av_2,av_3,xt_main1,xt_main2,xt_main3,xcosts1,xcosts2,xcosts3,xt_delay1,xt_delay2,xt_egr1,xt_egr2,xt_egr3,xt_acc2,xt_transf2,xt_transf3,xt_park1,xt_next3,xc_park1,xc_park3,mode2,mode3,ivt_pv,ivt_pt,ivt_pv_pt,ovt_pv,ovt_pt,ovt_pv_pt,tc_pv,tc_pt,tc_pv_pt,tra_pv,tra_pt,tra_pv_pt,rel_pv,rel_pt,cset_nr,purp,flex,with,weath,bag,time
34154,34212,1,pv,1,1,1,30,30,30,4,0,4.0,20,20,0,12,12,2,10,10,5,5,10,4,2,1,30,30,35,5,14,12,14,0,8.0,0,10,10,20,20,7,1,2,2,2,2,2
34154,34212,2,pt,0,1,1,30,30,30,4,0,4.0,20,20,0,12,12,2,10,10,5,5,10,4,2,1,30,30,35,5,14,12,14,0,8.0,0,10,10,20,20,7,1,2,2,2,2,2
34154,34213,1,pv,1,1,1,25,30,25,4,4,4.0,10,10,6,7,7,7,5,10,5,10,0,2,1,3,25,30,35,11,14,7,4,4,6.0,0,5,10,10,10,8,1,2,2,2,2,2
34154,34213,2,pt,0,1,1,25,30,25,4,4,4.0,10,10,6,7,7,7,5,10,5,10,0,2,1,3,25,30,35,11,14,7,4,4,6.0,0,5,10,10,10,8,1,2,2,2,2,2
34154,34214,2,pt,1,1,1,20,30,18,6,0,5.25,10,0,12,12,7,2,0,10,0,15,5,4,1,1,20,30,33,12,14,7,11,0,9.25,0,0,10,10,0,9,1,2,2,2,2,2
34154,34214,3,pv_pt,1,0,1,20,30,18,6,0,5.25,10,0,12,12,7,2,0,10,0,15,5,4,1,1,20,30,33,12,14,7,11,0,9.25,0,0,10,10,0,9,1,2,2,2,2,2
34215,34244,1,pv,1,1,1,30,20,23,6,2,4.5,20,0,12,2,12,12,10,5,0,10,0,2,1,3,30,20,33,12,14,12,6,2,6.5,0,10,5,20,0,1,2,2,1,2,1,1
34215,34244,2,pt,0,1,1,30,20,23,6,2,4.5,20,0,12,2,12,12,10,5,0,10,0,2,1,3,30,20,33,12,14,12,6,2,6.5,0,10,5,20,0,1,2,2,1,2,1,1
34215,34245,2,pt,1,1,1,30,30,26,2,0,1.75,10,0,0,2,7,2,10,15,0,15,10,0,3,1,30,30,41,0,4,7,12,0,1.75,0,10,15,10,0,2,2,2,1,2,1,1
34215,34245,1,pv,1,0,1,30,30,26,2,0,1.75,10,0,0,2,7,2,10,15,0,15,10,0,3,1,30,30,41,0,4,7,12,0,1.75,0,10,15,10,0,2,2,2,1,2,1,1
34215,34246,1,pv,1,1,1,25,25,22,4,2,3.5,0,20,6,7,7,7,5,10,0,10,0,2,2,2,25,25,32,6,14,7,4,2,5.5,0,5,10,0,20,3,2,2,1,2,1,1
34215,34246,2,pt,0,1,1,25,25,22,4,2,3.5,0,20,6,7,7,7,5,10,0,10,0,2,2,2,25,25,32,6,14,7,4,2,5.5,0,5,10,0,20,3,2,2,1,2,1,1
34215,34248,1,pv,1,1,1,25,30,25,4,4,4.0,20,0,12,12,12,12,0,15,10,10,5,4,3,2,25,30,35,22,24,12,9,4,8.0,0,0,15,20,0,4,4,2,1,3,2,2
34215,34248,2,pt,0,1,1,25,30,25,4,4,4.0,20,0,12,12,12,12,0,15,10,10,5,4,3,2,25,30,35,22,24,12,9,4,8.0,0,0,15,20,0,4,4,2,1,3,2,2
34215,34249,1,pv,1,1,1,25,20,25,6,0,6.0,20,20,0,12,2,12,0,15,10,15,5,4,1,3,25,20,40,10,24,2,11,0,10.0,0,0,15,20,20,5,4,2,1,3,2,2
34215,34249,2,pt,0,1,1,25,20,25,6,0,6.0,20,20,0,12,2,12,0,15,10,15,5,4,1,3,25,20,40,10,24,2,11,0,10.0,0,0,15,20,20,5,4,2,1,3,2,2
34215,34250,1,pv,1,1,1,20,25,18,4,4,1.75,0,10,0,7,7,7,5,10,0,10,0,2,1,1,20,25,28,0,14,7,4,4,3.75,0,5,10,0,10,6,4,2,1,3,2,2
34215,34250,2,pt,0,1,1,20,25,18,4,4,1.75,0,10,0,7,7,7,5,10,0,10,0,2,1,1,20,25,28,0,14,7,4,4,3.75,0,5,10,0,10,6,4,2,1,3,2,2
34215,34252,2,pt,1,1,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,7,2,1,1,3,1,1
34215,34252,1,pv,1,0,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,7,2,1,1,3,1,1
34215,34253,1,pv,1,1,1,20,30,20,6,0,6.0,10,0,0,2,12,12,10,10,10,10,10,0,1,2,20,30,30,10,14,12,16,0,6.0,0,10,10,10,0,8,2,1,1,3,1,1
34215,34253,2,pt,0,1,1,20,30,20,6,0,6.0,10,0,0,2,12,12,10,10,10,10,10,0,1,2,20,30,30,10,14,12,16,0,6.0,0,10,10,10,0,8,2,1,1,3,1,1
34215,34254,2,pt,1,1,1,30,20,23,4,0,3.0,20,20,12,2,12,2,0,15,10,5,0,0,1,1,30,20,28,22,4,12,4,0,3.0,0,0,15,20,20,9,2,1,1,3,1,1
34215,34254,1,pv,1,0,1,30,20,23,4,0,3.0,20,20,12,2,12,2,0,15,10,5,0,0,1,1,30,20,28,22,4,12,4,0,3.0,0,0,15,20,20,9,2,1,1,3,1,1
34216,34220,2,pt,1,1,1,25,25,22,2,2,1.75,20,20,6,7,2,7,5,5,5,5,0,0,3,2,25,25,27,11,14,2,2,2,1.75,0,5,5,20,20,1,2,2,1,4,2,1
34216,34220,3,pv_pt,1,0,1,25,25,22,2,2,1.75,20,20,6,7,2,7,5,5,5,5,0,0,3,2,25,25,27,11,14,2,2,2,1.75,0,5,5,20,20,1,2,2,1,4,2,1
34216,34221,3,pv_pt,1,1,1,20,25,15,4,2,3.0,20,20,6,7,2,12,5,15,0,5,5,0,2,2,20,25,20,6,19,2,9,2,3.0,0,5,15,20,20,2,2,2,1,4,2,1
34216,34221,2,pt,1,1,0,20,25,15,4,2,3.0,20,20,6,7,2,12,5,15,0,5,5,0,2,2,20,25,20,6,19,2,9,2,3.0,0,5,15,20,20,2,2,2,1,4,2,1
34216,34222,3,pv_pt,1,1,1,20,30,20,6,0,6.0,10,0,0,2,12,12,10,10,10,10,10,0,1,2,20,30,30,10,14,12,16,0,6.0,0,10,10,10,0,3,2,2,1,4,2,1
34216,34222,2,pt,1,1,0,20,30,20,6,0,6.0,10,0,0,2,12,12,10,10,10,10,10,0,1,2,20,30,30,10,14,12,16,0,6.0,0,10,10,10,0,3,2,2,1,4,2,1
34216,34224,2,pt,1,1,1,30,30,26,2,0,1.75,10,0,0,2,7,2,10,15,0,15,10,0,3,1,30,30,41,0,4,7,12,0,1.75,0,10,15,10,0,4,3,2,2,3,1,1
34216,34224,3,pv_pt,1,0,1,30,30,26,2,0,1.75,10,0,0,2,7,2,10,15,0,15,10,0,3,1,30,30,41,0,4,7,12,0,1.75,0,10,15,10,0,4,3,2,2,3,1,1
34216,34225,1,pv,1,1,1,25,25,22,4,2,3.5,0,20,6,7,7,7,5,10,0,10,0,2,2,2,25,25,32,6,14,7,4,2,5.5,0,5,10,0,20,5,3,2,2,3,1,1
34216,34225,2,pt,0,1,1,25,25,22,4,2,3.5,0,20,6,7,7,7,5,10,0,10,0,2,2,2,25,25,32,6,14,7,4,2,5.5,0,5,10,0,20,5,3,2,2,3,1,1
34216,34226,2,pt,1,1,1,30,20,30,2,0,2.0,0,10,12,12,7,12,5,10,0,15,10,0,3,3,30,20,45,12,24,7,12,0,2.0,0,5,10,0,10,6,3,2,2,3,1,1
34216,34226,3,pv_pt,1,0,1,30,20,30,2,0,2.0,0,10,12,12,7,12,5,10,0,15,10,0,3,3,30,20,45,12,24,7,12,0,2.0,0,5,10,0,10,6,3,2,2,3,1,1
34216,34228,3,pv_pt,1,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,7,1,1,2,1,1,2
34216,34228,1,pv,1,1,0,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,7,1,1,2,1,1,2
34216,34229,3,pv_pt,1,1,1,20,30,20,4,2,4.0,0,10,12,12,2,2,10,5,10,5,5,0,3,1,20,30,25,22,14,2,9,2,4.0,0,10,5,0,10,8,1,1,2,1,1,2
34216,34229,1,pv,1,1,0,20,30,20,4,2,4.0,0,10,12,12,2,2,10,5,10,5,5,0,3,1,20,30,25,22,14,2,9,2,4.0,0,10,5,0,10,8,1,1,2,1,1,2
34216,34230,1,pv,1,1,1,25,30,25,4,4,4.0,10,10,6,7,7,7,5,10,5,10,0,2,1,3,25,30,35,11,14,7,4,4,6.0,0,5,10,10,10,9,1,1,2,1,1,2
34216,34230,2,pt,0,1,1,25,30,25,4,4,4.0,10,10,6,7,7,7,5,10,5,10,0,2,1,3,25,30,35,11,14,7,4,4,6.0,0,5,10,10,10,9,1,1,2,1,1,2
34267,34286,1,pv,1,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,1,3,1,1,3,1,2
34267,34286,2,pt,0,1,1,30,25,23,6,4,4.5,0,10,6,7,2,12,5,5,10,15,0,0,2,1,30,25,38,16,19,2,6,4,4.5,0,5,5,0,10,1,3,1,1,3,1,2
34267,34287,1,pv,1,1,1,20,25,18,2,2,1.75,10,10,0,7,7,7,5,10,5,10,0,2,2,3,20,25,28,5,14,7,2,2,3.75,0,5,10,10,10,2,3,1,1,3,1,2
34267,34287,2,pt,0,1,1,20,25,18,2,2,1.75,10,10,0,7,7,7,5,10,5,10,0,2,2,3,20,25,28,5,14,7,2,2,3.75,0,5,10,10,10,2,3,1,1,3,1,2
34267,34288,1,pv,1,1,1,25,25,22,2,4,1.75,10,0,6,12,12,2,10,15,10,15,10,0,1,3,25,25,37,16,14,12,12,4,1.75,0,10,15,10,0,3,3,1,1,3,1,2
34267,34288,2,pt,0,1,1,25,25,22,2,4,1.75,10,0,6,12,12,2,10,15,10,15,10,0,1,3,25,25,37,16,14,12,12,4,1.75,0,10,15,10,0,3,3,1,1,3,1,2
34267,34290,1,pv,1,1,1,30,20,23,6,2,4.5,20,0,12,2,12,12,10,5,0,10,0,2,1,3,30,20,33,12,14,12,6,2,6.5,0,10,5,20,0,4,1,2,2,2,2,2
34267,34290,2,pt,0,1,1,30,20,23,6,2,4.5,20,0,12,2,12,12,10,5,0,10,0,2,1,3,30,20,33,12,14,12,6,2,6.5,0,10,5,20,0,4,1,2,2,2,2,2
34267,34291,1,pv,1,1,1,30,30,26,2,0,1.75,10,0,0,2,7,2,10,15,0,15,10,0,3,1,30,30,41,0,4,7,12,0,1.75,0,10,15,10,0,5,1,2,2,2,2,2
34267,34291,2,pt,0,1,1,30,30,26,2,0,1.75,10,0,0,2,7,2,10,15,0,15,10,0,3,1,30,30,41,0,4,7,12,0,1.75,0,10,15,10,0,5,1,2,2,2,2,2
34267,34292,1,pv,1,1,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,6,1,2,2,2,2,2
34267,34292,2,pt,0,1,1,25,20,25,6,4,6.0,10,20,12,2,2,2,10,15,5,5,10,2,3,3,25,20,30,17,4,2,16,4,8.0,0,10,15,10,20,6,1,2,2,2,2,2
34267,34294,1,pv,1,1,1,20,30,20,6,0,6.0,10,0,0,2,12,12,10,10,10,10,10,0,1,2,20,30,30,10,14,12,16,0,6.0,0,10,10,10,0,7,3,1,2,4,2,1
