id,obs_id,choice,chosen_alt,avail_car,avail_bus,avail_rail,avail_taxi,avail_cycling,avail_walking,car_travel_time_min,bus_ivt_time_min,rail_ivt_time_min,taxi_travel_time_min,cycling_travel_time_min,walking_travel_time_min,total_car_cost,bus_cost_total_per_leg,rail_cost_total_per_leg,taxi_cost,ovt_bus_min,ovt_rail_min,city,hh_size,purpose,income_perso,income_hh,age,education,female,british_origin,occ,n_car
43490,2276,5,cycling,1,1,0,1,1,1,6.78333333333333,9.05,9.05,6.78333333333333,13.15,33.9166666666667,0.364334534076216,2.3,2.3,4.7544275,12.9166666666667,12.9166666666667,1,2,2.0,2,1,3,2,0,1,1.0,1
43593,2277,5,cycling,0,1,0,0,1,1,3.38333333333333,3.7,0.0,3.38333333333333,6.23333333333333,13.5,0.142291715945198,1.5,0.0,3.5151175,9.7,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
43982,2278,5,cycling,0,1,0,1,1,1,6.85,9.21666666666667,0.0,6.85,9.06666666666667,30.0,0.364737114267777,2.3,0.0,4.77827958333333,11.6666666666666,0.0001,1,2,1.0,2,1,3,2,0,1,1.0,1
44293,2279,5,cycling,1,1,0,1,1,1,5.41666666666667,7.16666666666667,0.0,5.41666666666667,10.2833333333333,26.7833333333333,0.271374417540479,2.3,0.0,4.24090416666667,9.58333333333333,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
44551,2280,5,cycling,0,1,0,1,1,0,10.2333333333333,18.6833333333333,18.6833333333333,10.2333333333333,13.8666666666667,58.0,0.637291239163169,2.3,2.3,6.2575475,5.8333333333334,5.8333333333334,1,2,2.0,2,1,3,2,0,1,1.0,1
44613,2281,5,cycling,0,1,0,1,1,0,12.2666666666667,15.9666666666667,15.6166666666667,12.2666666666667,22.05,64.8166666666667,0.69815808962183,2.3,2.3,6.71152041666667,8.7833333333333,9.05,1,2,2.0,2,1,3,2,0,1,1.0,1
44780,2282,5,cycling,0,1,0,1,1,1,5.7,6.91666666666667,0.0,5.7,8.28333333333333,24.2666666666667,0.275199835046711,2.3,0.0,4.28112958333333,8.80000000000003,0.0001,1,2,1.0,2,1,3,2,0,1,1.0,1
45124,2283,5,cycling,1,1,0,1,1,1,7.2,9.05,0.0,7.2,13.15,33.9,0.364157340078361,2.3,0.0,4.79616333333333,12.9333333333333,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
45424,2284,5,cycling,0,1,1,1,1,0,16.8166666666667,20.0333333333333,9.0,16.8166666666667,19.4166666666667,74.5833333333333,3.91568889614085,2.3,4.5,7.80418541666667,9.9166666666667,15.5833333333333,1,2,2.0,2,1,3,2,0,1,1.0,1
45569,2285,5,cycling,0,1,0,1,1,1,5.26666666666667,10.0,0.0,5.26666666666667,6.51666666666667,15.9333333333333,0.202550058829763,1.5,0.0,3.88418166666667,4.5666666666667,0.0001,1,2,4.0,2,1,3,2,0,1,1.0,1
45605,2286,5,cycling,0,1,0,1,1,0,21.5333333333333,14.5333333333333,11.9833333333333,21.5333333333333,22.65,61.5,0.740890184479183,2.3,2.3,7.671565,19.0666666666667,23.55,1,2,1.0,2,1,3,2,0,1,1.0,1
45747,2287,4,taxi,1,1,0,1,1,0,13.8333333333333,18.6,18.6,13.8333333333333,19.1833333333333,65.5,6.79095376938249,2.3,2.3,6.94309625,12.7,12.7,1,2,4.0,2,1,3,2,0,1,1.0,1
45921,2288,4,taxi,0,1,0,1,1,0,10.8833333333333,17.7333333333333,13.85,10.8833333333333,25.0,68.4666666666667,0.801670401610374,2.3,2.3,7.0088125,13.8833333333334,21.3833333333333,1,2,1.0,2,1,3,2,0,1,1.0,1
46068,2289,5,cycling,1,1,0,1,1,0,21.15,22.0,18.0,21.15,15.25,55.5,6.8138827599292,2.3,2.3,7.43728708333333,10.9333333333333,15.6833333333333,1,2,2.0,2,1,3,2,0,1,1.0,1
46696,2290,5,cycling,0,1,0,1,1,0,17.8333333333333,13.6166666666667,13.6166666666667,17.8333333333333,20.2333333333333,58.8,0.650996086186067,2.3,2.3,6.92714125,15.0833333333333,15.0833333333333,1,2,1.0,2,1,3,2,0,1,1.0,1
47078,2291,5,cycling,1,1,0,1,1,1,7.26666666666667,9.05,0.0,7.26666666666667,13.2,35.6166666666667,0.399582327229615,2.3,0.0,4.95811041666667,12.8666666666667,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
47680,2292,5,cycling,0,1,0,1,1,1,7.76666666666667,9.21666666666667,0.0,7.76666666666667,9.3,30.4,0.34927165087836,2.3,0.0,4.73268416666667,10.15,0.0001,1,2,1.0,2,1,3,2,0,1,1.0,1
48085,2293,3,rail,1,1,1,1,0,0,44.3333333333333,77.55,73.9333333333333,44.3333333333333,194.666666666667,615.516666666667,6.491248116087,8.0,20.6,35.36504375,40.783333333333,29.0166666666667,1,2,4.0,2,1,3,2,0,1,1.0,1
48171,2294,3,rail,0,1,1,1,1,0,17.2666666666667,32.0,13.0,17.2666666666667,43.9,137.666666666667,1.80269289083225,3.0,4.5,12.0826304166667,15.6666666666667,12.2166666666667,1,2,4.0,2,1,3,2,0,1,1.0,1
48264,2295,6,walking,0,0,0,1,0,1,6.3,0.0,0.0,6.3,2.46666666666667,5.41666666666667,0.233919609298331,0.0,0.0,4.07130208333333,0.0001,0.0001,1,2,4.0,2,1,3,2,0,1,1.0,1
48413,2296,6,walking,0,1,0,1,1,1,9.76666666666667,0.6,0.0,9.76666666666667,9.23333333333333,23.6333333333333,0.54301918930486,1.5,0.0,5.85426541666667,21.5833333333333,0.0001,1,2,4.0,2,1,3,2,0,1,1.0,1
48739,2297,6,walking,0,1,0,1,0,1,7.91666666666667,0.8,0.0,7.91666666666667,4.68333333333333,19.2333333333333,0.530950077428086,1.5,0.0,5.60774916666667,18.2666666666667,0.0001,1,2,1.0,2,1,3,2,0,1,1.0,1
48944,2298,2,bus,0,1,1,1,0,0,55.7333333333333,87.3833333333333,59.55,55.7333333333333,259.683333333333,739.55,8.01975663586141,8.0,32.6,43.1771775,25.0499999999997,54.7,1,2,1.0,2,1,3,2,0,1,1.0,1
49626,2299,5,cycling,1,1,0,1,1,1,6.73333333333333,9.13333333333333,0.0,6.73333333333333,13.1333333333333,33.9166666666667,0.363950142739366,2.3,0.0,4.74881625,12.95,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
49797,2300,5,cycling,0,1,0,0,1,1,3.63333333333333,9.0,0.0,3.63333333333333,8.06666666666667,19.1,0.182912302792592,2.3,0.0,3.786785,6.0333333333333,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
49907,2301,5,cycling,0,1,0,1,1,1,7.25,9.21666666666667,7.16666666666667,7.25,9.28333333333333,30.4833333333333,0.347319753836905,2.3,2.3,4.68556083333333,9.83333333333333,11.5666666666666,1,2,1.0,2,1,3,2,0,1,1.0,1
50127,2302,5,cycling,1,1,0,1,1,1,6.9,9.13333333333333,0.0,6.9,13.15,33.9,0.364157340078361,2.3,0.0,4.76541333333333,12.95,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
50220,2303,2,bus,0,1,0,1,1,0,10.1833333333333,18.6833333333333,18.6833333333333,10.1833333333333,13.8333333333333,57.8833333333333,0.636106697101804,2.3,2.3,6.24756,5.95,5.95,1,2,2.0,2,1,3,2,0,1,1.0,1
50784,2304,1,car,1,1,0,1,1,1,6.28333333333333,7.16666666666667,0.0,6.28333333333333,10.55,27.7833333333333,0.295497510309905,2.3,0.0,4.4192075,9.26666666666663,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
50793,2305,6,walking,0,1,0,0,0,1,2.36666666666667,2.31666666666667,0.0,2.36666666666667,3.36666666666667,9.06666666666667,0.10547550677157,1.5,0.0,3.29615416666667,6.81666666666666,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
50868,2306,5,cycling,0,1,1,1,1,0,19.3,54.7833333333333,15.7333333333333,19.3,33.8333333333333,111.216666666667,1.17568651415775,3.4,12.0,9.38862083333333,6.3666666666667,31.7,1,2,2.0,2,1,3,2,0,1,1.0,1
51022,2307,5,cycling,0,1,0,1,1,0,13.9833333333333,28.0,24.0,13.9833333333333,26.25,78.6833333333333,0.841337143968144,4.6,4.6,7.47875875,9.1666666666667,10.7,1,2,2.0,2,1,3,2,0,1,1.0,1
51021,2308,5,cycling,0,1,0,1,1,1,6.01666666666667,11.1166666666667,6.28333333333333,6.01666666666667,14.2,40.1833333333333,0.393300894294498,2.3,2.3,4.90973041666667,9.3333333333333,18.45,1,2,2.0,2,1,3,2,0,1,1.0,1
51066,2309,5,cycling,0,1,0,0,1,1,3.23333333333333,9.0,0.0,3.23333333333333,7.75,15.5333333333333,0.150066154733011,2.3,0.0,3.586295,10.3,0.0001,1,2,2.0,2,1,3,2,0,1,1.0,1
40548,2310,1,car,1,1,0,1,1,0,16.85,17.8,13.6166666666667,16.85,26.8333333333333,81.4666666666667,0.822474456802042,3.8,2.3,7.91214583333333,24.7,29.1166666666666,1,1,2.0,4,2,1,2,1,1,1.0,1
41307,2311,1,car,1,1,1,1,1,0,15.9666666666667,26.3166666666667,20.6666666666667,15.9666666666667,27.4,80.9833333333333,0.9318342501514,2.3,12.7,8.01659041666667,15.1666666666666,34.35,1,1,2.0,4,2,1,2,1,1,1.0,1
42075,2312,1,car,1,1,0,1,1,0,6.73333333333333,3.98333333333333,3.98333333333333,6.73333333333333,11.2666666666667,40.5166666666667,0.427512805289747,2.3,2.3,5.0352175,19.4333333333334,19.4333333333334,1,1,4.0,4,2,1,2,1,1,1.0,1
43584,2313,1,car,1,1,0,1,1,0,11.6833333333333,47.4,19.85,11.6833333333333,29.1833333333333,100.666666666667,1.10951888183906,5.3,3.0,8.538865,15.6166666666667,23.1166666666667,1,1,4.0,4,2,1,2,1,1,1.0,1
43642,2314,1,car,1,1,0,1,1,0,8.73333333333333,15.3166666666667,15.3166666666667,8.73333333333333,15.8,60.5833333333333,0.602475433717969,2.3,2.3,6.0551725,5.05,5.05,1,1,4.0,4,2,1,2,1,1,1.0,1
